"Fon Kodu","Fon Adı","Fon Türü","Uygulanan Yönetim Ücreti Yıllık (%)","Fon İç Tüzüğünde Yer Alan Yönetim Ücreti Yıllık (%)","Yıllık Net Getiri Oranı (%)","Yıllık Azami Fon Toplam Gider Oranı (%)"
"FFZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","Fon Sepeti Fonu","1.5","1.5","31.97","2.28"
"FGF","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU","OKS Standart Fon","0.85","0.85","25.79","1.09"
"FGH","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU","OKS Katılım Standart Fon","0.85","0.85","23.25","1.09"
"FIC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. OKS AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","18.73","1.09"
"FIF","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. İSTANBUL PORTFÖY DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","1.5","1.5","61.49","2.28"
"FIG","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. OKS DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","40.06","1.09"
"FIH","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. OKS ATAK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","25.07","1.09"
"FIK","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. KARE PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU","Fon Sepeti Fonu","1","1","35.83","2.28"
"FIM","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. AKTİF PORTFÖY KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2.01","2.01","43.93","2.28"
"FIR","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. OSMANLI PORTFÖY DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","1.6","1.6","41.39","2.28"
"FIS","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. KATILIM STANDART EMEKLİLİK YATIRIM FONU","Katılım Standart Fon","1.88","1.88","28.31","1.91"
"FIU","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. OKS AGRESİF KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","28.45","1.09"
"FIV","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. OKS ATAK KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","29.34","1.09"
"FIZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. OKS MUHAFAZAKAR DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","54.31","1.09"
"FJG","HDI FİBA EMEKLİLİK VE HAYAT A.Ş.  RE-PIE PORTFÖY DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2.2","2.2","53.64","2.28"
"FVI","HDI FİBA EMEKLİLİK VE HAYAT A.Ş ESG SÜRDÜRÜLEBİLİRLİK FON SEPETİ EMEKLİLİK YATIRIM FONU","Fon Sepeti Fonu","2.2","2.2","11.3","2.28"
"FYN","AGESA HAYAT VE EMEKLİLİK A.Ş. KATILIM STANDART EMEKLİLİK YATIRIM FONU","Katılım Standart Fon","1.86","1.86","26.25","1.91"
"FYU","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. KATILIM STANDART EMEKLİLİK YATIRIM FONU","Katılım Standart Fon","1.81","1.88","26.19","1.91"
"GCK","GARANTİ EMEKLİLİK VE HAYAT A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU","OKS Katılım Standart Fon","0.85","0.85","27.49","1.09"
"GCN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. YENİ TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","2.23","2.23","10.35","2.28"
"GCS","GARANTİ EMEKLİLİK VE HAYAT A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU","OKS Standart Fon","0.85","0.85","25.9","1.09"
"GCT","GARANTİ EMEKLİLİK VE HAYAT A.Ş. BİRİNCİ FON SEPETİ EMEKLİLİK YATIRIM FONU","Fon Sepeti Fonu","2.25","2.25","38.6","2.28"
"GCY","GARANTİ EMEKLİLİK VE HAYAT A.Ş. KARMA EMEKLİLİK YATIRIM FONU","Karma Fon","2.23","2.23","39.19","2.28"
"GEA","GARANTİ EMEKLİLİK VE HAYAT A.Ş. KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2.23","2.23","15.97","2.28"
"GED","GARANTİ EMEKLİLİK VE HAYAT A.Ş. TEMETTÜ ÖDEYEN ŞİRKETLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","1.5","1.5","6.79","2.28"
"GEH","GARANTİ EMEKLİLİK VE HAYAT A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","2.23","2.23","10.86","2.28"
"GEK","GARANTİ EMEKLİLİK VE HAYAT A.Ş. BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","1.88","1.88","37.31","1.91"
"GES","GARANTİ EMEKLİLİK VE HAYAT A.Ş. KATILIM STANDART EMEKLİLİK YATIRIM FONU","Katılım Standart Fon","1.88","1.88","28.35","1.91"
"GEU","GARANTİ EMEKLİLİK VE HAYAT A.Ş. DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","1.5","1.5","32","1.91"
"GEV","AGESA HAYAT VE EMEKLİLİK A.Ş. ALTIN KATILIM EMEKLİLİK YATIRIM FONU","Altın Katılım Fonu","1.05","1.05","83.7","1.09"
"GFH","AGESA HAYAT VE EMEKLİLİK A.Ş. SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","2.2","2.2","6.87","2.28"
"GHA","GARANTİ EMEKLİLİK VE HAYAT A.Ş. ALTIN KATILIM EMEKLİLİK YATIRIM FONU","Altın Katılım Fonu","1.06","1.06","71.86","1.09"
"GHD","GARANTİ EMEKLİLİK VE HAYAT A.Ş. STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","1.88","1.88","25.72","1.91"
"GHE","GARANTİ EMEKLİLİK VE HAYAT A.Ş. DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2.01","2.01","21.11","2.28"
"GHG","GARANTİ EMEKLİLİK VE HAYAT A.Ş. DIŞ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Dış Borçlanma Araçları Fonu","1.5","1.5","29.99","1.91"
"GHH","GARANTİ EMEKLİLİK VE HAYAT A.Ş. SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","2.23","2.23","10.1","2.28"
"GHJ","GARANTİ EMEKLİLİK VE HAYAT A.Ş. OKS AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","12.05","1.09"
"GHM","GARANTİ EMEKLİLİK VE HAYAT A.Ş. OKS DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","19.83","1.09"
"GHN","GARANTİ EMEKLİLİK VE HAYAT A.Ş. OKS DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","31.54","1.09"
"GHO","GARANTİ EMEKLİLİK VE HAYAT A.Ş. ÜÇÜNCÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","1.88","1.88","35.32","1.91"
"GHP","GARANTİ EMEKLİLİK VE HAYAT A.Ş. OKS TEMKİNLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","53.69","1.09"
"GHT","GARANTİ EMEKLİLİK VE HAYAT A.Ş. DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2.23","2.23","39.47","2.28"
"GHU","GARANTİ EMEKLİLİK VE HAYAT A.Ş. OKS AGRESİF KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","17.9","1.09"
"GHV","GARANTİ EMEKLİLİK VE HAYAT A.Ş. OKS DENGELİ KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","34.48","1.09"
"GHY","GARANTİ EMEKLİLİK VE HAYAT A.Ş. OKS DİNAMİK KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","22.86","1.09"
"GHZ","GARANTİ EMEKLİLİK VE HAYAT A.Ş. OKS TEMKİNLİ KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","45.61","1.09"
"GKB","GARANTİ EMEKLİLİK VE HAYAT A.Ş. KİRA SERTİFİKALARI KATILIM EMEKLİLİK YATIRIM FONU","Katılım Fonu","1.88","1.88","39.14","1.91"
"GRA","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. ALTIN EMEKLİLİK YATIRIM FONU","Altın Fonu","1.07","1.07","65.36","1.09"
"HEA","AXA HAYAT VE EMEKLİLİK A.Ş. ALTIN KATILIM EMEKLİLİK YATIRIM FONU","Altın Katılım Fonu","1.01","1.01","72.16","1.09"
"HEB","AXA HAYAT VE EMEKLİLİK A.Ş. DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2.21","2.21","27.42","2.28"
"HEC","AXA HAYAT VE EMEKLİLİK A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU","OKS Standart Fon","0.85","0.85","30.46","1.09"
"HED","AXA HAYAT VE EMEKLİLİK A.Ş. KAMU DIŞ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Kamu Yabancı Para (Döviz) Cinsinden Borçlanma Araç","1.01","1.01","32.39","1.91"
"HEE","AXA HAYAT VE EMEKLİLİK A.Ş. KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2.21","2.21","27.76","2.28"
"HEI","AXA HAYAT VE EMEKLİLİK A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU","OKS Katılım Standart Fon","0.85","0.85","25.76","1.09"
"HEK","AXA HAYAT VE EMEKLİLİK A.Ş. STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","1.84","1.84","27.93","1.91"
"HES","AXA HAYAT VE EMEKLİLİK A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","2.21","2.21","15.71","2.28"
"HHB","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. BIST-30 DIŞI ŞİRKETLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","2.0805","2.0805","5.29","2.28"
"HHE","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2.1535","2.1535","8.97","2.28"
"HHG","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KAMU DIŞ BORÇLANMA ARAÇLARI ( ABD DOLARI 0-5 YIL VADELİ) EMEKLİLİK YATIRIM FONU","Kamu Yabancı Para (Döviz) Cinsinden Borçlanma Araç","1.8615","1.8615","24.59","1.91"
"HHM","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KATILIM AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2.1973","2.1973","11.12","2.28"
"HHN","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KATILIM DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2.25","2.25","16.24","2.28"
"HHY","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KARMA EMEKLİLİK YATIRIM FONU","Karma Fon","1.752","1.752","8.42","1.91"
"HS1","ANADOLU HAYAT EMEKLİLİK A.Ş. BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","1.85","1.85","32.04","1.91"
"IEA","NN HAYAT VE EMEKLİLİK A.Ş. DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2.19","2.19","29.73","2.28"
"IEB","NN HAYAT VE EMEKLİLİK A.Ş. STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","1.83","1.83","40.74","1.91"
"IEE","NN HAYAT VE EMEKLİLİK A.Ş. DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2.18","2.18","14.65","2.28"
"IEF","NN HAYAT VE EMEKLİLİK A.Ş. DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2.2","2.2","9.17","2.28"
"IEG","NN HAYAT VE EMEKLİLİK A.Ş. BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","1.88","1.88","24.47","1.91"
"IEH","NN HAYAT VE EMEKLİLİK A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","2.13","2.13","7.48","2.28"
"IEK","NN HAYAT VE EMEKLİLİK A.Ş. KARMA EMEKLİLİK YATIRIM FONU","Karma Fon","2.2","2.2","18.89","2.28"
"KEB","KATILIM EMEKLİLİK VE HAYAT A.Ş. KATILIM STANDART EMEKLİLİK YATIRIM FONU","Katılım Standart Fon","1.88","1.88","29.9","1.91"
"KED","KATILIM EMEKLİLİK VE HAYAT A.Ş. GENÇLERE YÖNELIK ATAK KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Katılım Değişken Fon","2.26","2.26","17.42","2.28"
"KEF","KATILIM EMEKLİLİK VE HAYAT A.Ş. ALTIN KATILIM EMEKLİLİK YATIRIM FONU","Altın Katılım Fonu","1.06","1.06","70.61","1.09"
"KEG","KATILIM EMEKLİLİK VE HAYAT A.Ş. DENGELİ KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2.25","2.25","23.43","2.28"
"KEH","KATILIM EMEKLİLİK VE HAYAT A.Ş. KATILIM HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","2.25","2.25","7.69","2.28"
"KES","KATILIM EMEKLİLİK VE HAYAT A.Ş. AGRESİF KATILIM DEĞİŞKEN (DÖVİZ) EMEKLİLİK YATIRIM FONU","Değişken Fon","2.26","2.26","24.5","2.28"
"KET","KATILIM EMEKLİLİK VE HAYAT A.Ş. OKS ATAK KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","28.55","1.09"
"KEZ","KATILIM EMEKLİLİK VE HAYAT A.Ş. OKS AGRESİF KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","25.25","1.09"
"KFE","KATILIM EMEKLİLİK VE HAYAT A.Ş. KATILIM FON SEPETİ EMEKLİLİK YATIRIM FONU","Fon Sepeti Fonu","2.2","2.2","0","2.28"
"KJM","KATILIM EMEKLİLİK VE HAYAT A.Ş. KIYMETLİ MADENLER KATILIM EMEKLİLİK YATIRIM FONU","Katılım Fonu","1.06","1.06","52.11","1.09"
"KKS","KATILIM EMEKLİLİK VE HAYAT A.Ş. KİRA SERTİFİKALARI KATILIM EMEKLİLİK YATIRIM FONU","Kira Sertifikası Fonu","1.88","1.88","37.66","1.91"
"KKV","KATILIM EMEKLİLİK VE HAYAT A.Ş. KISA VADELİ KİRA SERTİFİKALARI KATILIM EMEKLİLİK YATIRIM FONU","Kira Sertifikasi Katılım Fonu","1.86","1.86","50.74","1.91"
"KLT","KATILIM EMEKLİLİK VE HAYAT A.Ş. TEMETTÜ ÖDEYEN ŞİRKETLER KATILIM HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","2.26","2.26","11.34","2.28"
"KOA","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU","OKS Standart Fon","0.85","0.85","30.07","1.09"
"KOS","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU","OKS Katılım Standart Fon","0.85","0.85","26.94","1.09"
"KRM","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KATILIM KARMA EMEKLİLİK YATIRIM FONU","Karma Fon","2.2","2.2","25.87","2.28"
"KSH","KATILIM EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ KATILIM EMEKLİLİK YATIRIM FONU","Katılım Fonu","2.2","2.2","0","2.28"
"KSU","KATILIM EMEKLİLİK VE HAYAT A.Ş. SÜRDÜRÜLEBİLİRLİK KATILIM EMEKLİLİK YATIRIM FONU","Katılım Fonu","2.23","2.23","14.38","2.28"
"KTZ","KATILIM EMEKLİLİK VE HAYAT A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU","OKS Katılım Standart Fon","0.85","0.85","24.75","1.09"
"MDD","ANADOLU HAYAT EMEKLİLİK A.Ş.MERKEZİ ALACAĞIN DEVRİ DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Merkezi Alacağın Devri Fonu","1.35","1.35","0","1.5"
"MDE","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. MERKEZİ ALACAĞIN DEVRİ TEMKİNLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Merkezi Alacağın Devri Fonu","1.25","1.25","0","1.5"
"MDK","ANADOLU HAYAT EMEKLİLİK A.Ş. MERKEZİ ALACAĞIN DEVRİ MUHAFAZAKAR KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Merkezi Alacağın Devri Fonu","1.35","1.35","0","1.5"
"MEA","METLİFE EMEKLİLİK VE HAYAT A.Ş. ALTIN KATILIM EMEKLİLİK YATIRIM FONU","Altın Katılım Fonu","1.05","1.05","71.03","1.09"
"MEV","METLİFE EMEKLİLİK VE HAYAT A.Ş.TEKNOLOJİ FON SEPETİ EMEKLİLİK YATIRIM FONU","Fon Sepeti Fonu","1.55","1.55","6.84","1.65"
"MEY","METLİFE EMEKLİLİK VE HAYAT A.Ş. SÜRDÜRÜLEBİLİRLİK FON SEPETİ EMEKLİLİK YATIRIM FONU","Fon Sepeti Fonu","1.55","1.55","11.52","1.65"
"MHD","METLİFE EMEKLİLİK VE HAYAT A.Ş. KAMU DIŞ BORÇLANMA ARAÇLARI (ABD DOLARI 0-5 YIL VADELİ) EMEKLİLİK YATIRIM FONU","Kamu Yabancı Para (Döviz) Cinsinden Borçlanma Araç","1.86","1.86","24.09","1.91"
"MHE","METLİFE EMEKLİLİK VE HAYAT A.Ş. MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2.21","2.21","31.55","2.28"
"MHH","METLİFE EMEKLİLİK VE HAYAT A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","2.21","2.21","5.61","2.28"
"MHI","METLİFE EMEKLİLİK VE HAYAT A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU","OKS Katılım Standart Fon","0.85","0.85","25.53","1.09"
"MHK","METLİFE EMEKLİLİK VE HAYAT A.Ş. STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","1.86","1.86","22.16","1.91"
"MHM","METLİFE EMEKLİLİK VE HAYAT A.Ş. OKS TEMKİNLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","49.04","1.09"
"MHN","METLİFE EMEKLİLİK VE HAYAT A.Ş. OKS DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","27.64","1.09"
"MHO","METLİFE EMEKLİLİK VE HAYAT A.Ş. OKS ATAK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","20.37","1.09"
"MHR","METLİFE EMEKLİLİK VE HAYAT A.Ş. OKS AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","12.27","1.09"
"MHS","METLİFE EMEKLİLİK VE HAYAT A.Ş. KATILIM STANDART EMEKLİLİK YATIRIM FONU","Katılım Standart Fon","1.86","1.86","26.52","1.91"
"MHU","METLİFE EMEKLİLİK VE HAYAT A.Ş. OKS ATAK KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","25.82","1.09"
"MHV","METLİFE EMEKLİLİK VE HAYAT A.Ş. OKS AGRESİF KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","22.67","1.09"
"MHZ","METLİFE EMEKLİLİK VE HAYAT A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU","OKS Standart Fon","0.85","0.85","23.76","1.09"
"MZL","AGESA HAYAT VE EMEKLİLİK A.Ş. İKİNCİ FON SEPETİ EMEKLİLİK YATIRIM FONU","Fon Sepeti Fonu","2.25","2.25","35.86","2.28"
"MZN","AGESA HAYAT VE EMEKLİLİK A.Ş. BİRİNCİ FON SEPETİ EMEKLİLİK YATIRIM FONU","Fon Sepeti Fonu","2.25","2.25","43.73","2.28"
"MZP","AGESA HAYAT VE EMEKLİLİK A.Ş. ÜÇÜNCÜ FON SEPETİ EMEKLİLİK YATIRIM FONU","Fon Sepeti Fonu","2.25","2.25","27.44","2.28"
"NHA","NN HAYAT VE EMEKLİLİK A.Ş. ALTIN EMEKLİLİK YATIRIM FONU","Altın Fonu","1.05","1.05","67.05","1.09"
"NHM","NN HAYAT VE EMEKLİLİK A.Ş. QINVEST PORTFÖY TEMKİNLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2.2","2.2","46.28","2.28"
"NHN","NN HAYAT VE EMEKLİLİK A.Ş.İKİNCİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2.2","2.2","46.99","2.28"
"RZM","AXA HAYAT VE EMEKLİLİK A.Ş. KATILIM STANDART EMEKLİLİK YATIRIM FONU","Katılım Standart Fon","1.84","1.84","28.4","1.91"
"RZN","AXA HAYAT VE EMEKLİLİK A.Ş. FON SEPETİ EMEKLİLİK YATIRIM FONU","Fon Sepeti Fonu","2","2","35.6","2.28"
"TBJ","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","2.0805","2.0805","6.35","2.28"
"TJY","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. ÜÇÜNCÜ YAŞAM DÖNGÜSÜ EMEKLİLİK YATIRIM FONU","Yaşam Döngüsü/Hedef Fon","2.1535","2.1535","41.29","2.28"
"TML","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. BİRİNCİ YAŞAM DÖNGÜSÜ EMEKLİLİK YATIRIM FONU","Yaşam Döngüsü/Hedef Fon","2.1535","2.1535","22.67","2.28"
"TMN","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. MERKEZİ ALACAĞIN DEVRİ DENGELİ KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Merkezi Alacağın Devri Fonu","1.25","1.25","0","1.5"
"TVG","ANADOLU HAYAT EMEKLİLİK A.Ş. TARIM VE GIDA FON SEPETİ  EMEKLİLİK YATIRIM FONU","Fon Sepeti Fonu","2.2","2.2","0","2.28"
"TYJ","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. İKİNCİ YAŞAM DÖNGÜSÜ EMEKLİLİK YATIRIM FONU","Yaşam Döngüsü/Hedef Fon","2.1535","2.1535","36.27","2.28"
"VEB","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KATILIM DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","1.8323","1.8323","26.26","2.28"
"VED","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. OKS MUHAFAZAKAR KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","52.72","1.09"
"VEE","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2.1535","2.1535","11.37","2.28"
"VEG","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. BİRİNCİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2.0075","2.0075","25.92","2.28"
"VEH","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","2.0805","2.0805","10.64","2.28"
"VEK","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","1.8615","1.8615","26.77","1.91"
"VEO","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. OKS AGRESİF KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","22.94","0.95"
"VEP","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. OKS TEMKİNLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","49.89","0.95"
"VES","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","1.86","1.86","49.76","1.91"
"VET","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KAMU DIŞ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Kamu Yabancı Para (Döviz) Cinsinden Borçlanma Araç","1.8615","1.8615","26.44","1.91"
"VEU","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. TEMKİNLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","1.752","1.752","47.65","1.91"
"VEV","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. OKS DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","32.22","0.95"
"VGA","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. ALTIN KATILIM EMEKLİLİK YATIRIM FONU","Altın Katılım Fonu","0.9125","0.9125","77.92","1.09"
"VGB","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KATILIM STANDART EMEKLİLİK YATIRIM FONU","Katılım Standart Fon","1.8615","1.8615","18.88","1.91"
"VGC","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. OKS DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","18.14","0.95"
"VGD","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KIYMETLİ MADENLER KATILIM EMEKLİLİK YATIRIM FONU","Katılım Fonu","1.0038","1.0038","71.52","1.095"
"VGF","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. OKS AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","18.65","0.95"
"VGG","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. OKS DENGELİ KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","29.43","1.09"
