"Fon Kodu","Fon Adı","Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"AGE","ANADOLU HAYAT EMEKLİLİK A.Ş. KATILIM STANDART EMEKLİLİK YATIRIM FONU","Katılım Standart Fon","0,8960","2,4053","14,3495","4,5143","27,7124","198,1052","420,7143"
"HEE","AXA HAYAT VE EMEKLİLİK A.Ş. KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","1,7692","5,7056","16,5084","7,3560","27,6943","139,4426","303,8269"
"BPK","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. İKİNCİ KAMU DIŞ BORÇLANMA ARAÇLARI (ABD DOLARI 0-5 YIL VADELİ) EMEKLİLİK YATIRIM FONU","Kamu Yabancı Para (Döviz) Cinsinden Borçlanma Araç","1,3790","6,9359","12,8310","8,0518","27,5696","212,3430","630,7721"
"AZD","ALLIANZ HAYAT VE EMEKLİLİK A.Ş. BİRİNCİ KAMU DIŞ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Kamu Yabancı Para (Döviz) Cinsinden Borçlanma Araç","1,2404","7,1416","11,7098","7,8431","27,4965","221,3552","634,1210"
"MHN","METLİFE EMEKLİLİK VE HAYAT A.Ş. OKS DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,0274","0,3634","15,5746","2,6178","27,4508","362,3928","622,5395"
"AFH","ANADOLU HAYAT EMEKLİLİK A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU","OKS Standart Fon","0,9937","-2,1380","12,3832","0,9378","27,4374","232,6653","417,9587"
"AJB","ANADOLU HAYAT EMEKLİLİK A.Ş. OKS ATAK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2,3870","-3,2811","15,0083","-0,3709","27,4289","571,5732","1.467,8094"
"BPU","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. BİRİNCİ KAMU DIŞ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Kamu Yabancı Para (Döviz) Cinsinden Borçlanma Araç","1,3268","6,7080","11,4286","7,4216","27,3206","228,1190","633,6318"
"CFE","QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU","OKS Katılım Standart Fon","1,9902","5,0769","15,2646","6,5745","27,3166","189,0615","451,0892"
"VEK","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","0,6972","-1,4971","15,6481","1,5465","27,2271","173,6677","246,3281"
"RZM","AXA HAYAT VE EMEKLİLİK A.Ş. KATILIM STANDART EMEKLİLİK YATIRIM FONU","Katılım Standart Fon","0,0673","2,9841","14,0284","4,9794","27,1851","-","-"
"AMG","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. BİRİNCİ KAMU DIŞ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Kamu Yabancı Para (Döviz) Cinsinden Borçlanma Araç","1,1996","6,9725","11,4444","7,7148","27,1330","223,0871","645,7419"
"GCK","GARANTİ EMEKLİLİK VE HAYAT A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU","OKS Katılım Standart Fon","1,3681","4,6772","13,9193","5,9793","26,9485","204,5797","398,0355"
"AVD","AGESA HAYAT VE EMEKLİLİK A.Ş. KARMA EMEKLİLİK YATIRIM FONU","Karma Fon","5,4515","7,5758","18,3384","10,6743","26,9314","295,8612","696,0820"
"VET","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KAMU DIŞ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Kamu Yabancı Para (Döviz) Cinsinden Borçlanma Araç","1,8739","8,3468","12,4736","8,3108","26,8617","209,9525","629,1079"
"AH3","ANADOLU HAYAT EMEKLİLİK A.Ş. BİRİNCİ KAMU DIŞ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Kamu Yabancı Para (Döviz) Cinsinden Borçlanma Araç","0,9122","5,4254","13,0439","6,7675","26,8390","221,3391","634,9439"
"CHI","QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. OKS DİNAMİK KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2,7108","2,2641","18,3123","4,8651","26,8023","379,1007","1.066,3392"
"MZP","AGESA HAYAT VE EMEKLİLİK A.Ş. ÜÇÜNCÜ FON SEPETİ EMEKLİLİK YATIRIM FONU","Fon Sepeti Fonu","2,3971","0,5481","15,9745","3,8649","26,7218","249,8246","-"
"VEB","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KATILIM DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,1311","4,8728","15,5749","5,1420","26,6928","220,6235","441,5388"
"AGD","BEREKET EMEKLİLİK VE HAYAT A.Ş. KATILIM STANDART EMEKLİLİK YATIRIM FONU","Katılım Standart Fon","0,0273","1,0144","15,0629","1,1382","26,6363","159,6025","335,8270"
"AJP","AXA HAYAT VE EMEKLİLİK A.Ş. OKS ATAK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,4276","0,0195","16,2600","3,3110","26,6230","377,4277","850,8688"
"FGF","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU","OKS Standart Fon","0,6620","-0,3752","13,4431","2,9114","26,5890","162,0918","275,9597"
"VGK","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU","OKS Katılım Standart Fon","0,4872","3,6029","15,6022","5,3379","26,5399","160,1970","321,6163"
"VVD","AGESA HAYAT VE EMEKLİLİK A.Ş. OKS DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,5142","-0,2686","16,3293","3,0365","26,4744","376,5947","852,9643"
"KOS","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU","OKS Katılım Standart Fon","0,6923","4,0493","16,2678","5,6146","26,4368","194,6295","353,5054"
"KEZ","KATILIM EMEKLİLİK VE HAYAT A.Ş. OKS AGRESİF KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,8512","-0,3709","15,9679","0,5888","26,4077","457,3286","1.411,0480"
"MHU","METLİFE EMEKLİLİK VE HAYAT A.Ş. OKS ATAK KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2,9422","6,5742","20,5937","6,7061","26,3616","395,3162","823,3322"
"GHD","GARANTİ EMEKLİLİK VE HAYAT A.Ş. STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","0,9883","-1,5556","13,5555","2,2369","26,2959","224,4443","375,2097"
"YZD","ALLİANZ YAŞAM VE EMEKLİLİK A.Ş. TEKNOLOJİ SEKTÖRÜ FON SEPETİ EMEKLİLİK YATIRIM FONU","Fon Sepeti Fonu","-3,5065","-3,6861","9,1062","-0,6810","26,2586","253,4593","-"
"AH0","ANADOLU HAYAT EMEKLİLİK A.Ş. ATAK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2,8368","-3,1099","14,6749","-0,3411","26,2392","497,0754","1.216,9254"
"BPS","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. OKS AGRESİF KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2,6221","4,5331","18,9069","4,2507","26,2314","453,7795","1.301,9898"
"GCS","GARANTİ EMEKLİLİK VE HAYAT A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU","OKS Standart Fon","1,0772","-0,6303","12,2899","2,4861","26,2063","228,4195","430,6283"
"MHS","METLİFE EMEKLİLİK VE HAYAT A.Ş. KATILIM STANDART EMEKLİLİK YATIRIM FONU","Katılım Standart Fon","1,8827","6,4197","16,8005","7,7964","26,0708","227,8545","428,9494"
"KRM","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KATILIM KARMA EMEKLİLİK YATIRIM FONU","Karma Fon","0,1102","0,9203","12,5155","2,3988","26,0628","-","-"
"VEG","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. BİRİNCİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0,1198","5,0286","10,7427","7,1911","26,0389","187,0291","513,4882"
"IEG","NN HAYAT VE EMEKLİLİK A.Ş. BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","-1,1246","-3,9884","7,9903","0,2421","26,0151","141,6217","193,1492"
"ALS","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","1,7956","1,1094","13,4530","3,8803","25,9277","325,2788","711,1130"
"AFP","ANADOLU HAYAT EMEKLİLİK A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU","OKS Katılım Standart Fon","1,0663","3,1804","14,0672","4,7894","25,8733","180,8047","347,9739"
"AMR","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. KAMU DIŞ BORÇLANMA ARAÇLARI (ABD DOLARI 0-5 YIL VADELİ) EMEKLİLİK YATIRIM FONU","Kamu Yabancı Para (Döviz) Cinsinden Borçlanma Araç","1,3078","6,6974","12,2171","7,5858","25,8719","217,8144","620,0293"
"CFD","QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. DIŞ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Dış Borçlanma Araçları Fonu","1,4478","7,7905","12,6648","8,9479","25,8377","226,7971","631,4383"
"AJG","ANADOLU HAYAT EMEKLİLİK A.Ş. OKS AGRESİF KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,4561","-0,0625","16,6288","1,4882","25,7494","390,7475","1.118,6854"
"AIP","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. OKS AGRESİF KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Katılım Değişken Fon","4,0204","2,1502","17,5090","3,1080","25,7099","379,5105","1.101,1147"
"BPG","BNP PARİBAS CARDİF EMEKLİLİK A.Ş.BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","-1,2187","-3,7477","8,4191","1,0207","25,6480","124,5165","171,5467"
"VVZ","AGESA HAYAT VE EMEKLİLİK A.Ş. OKS AGRESİF KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,8804","2,2013","17,1773","3,1476","25,4925","383,6719","1.116,5367"
"FIH","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. OKS ATAK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","1,9272","-2,5941","11,6775","-0,2816","25,3973","389,7686","627,1546"
"EIK","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. DIŞ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Dış Borçlanma Araçları Fonu","0,9520","7,9495","11,6458","8,4091","25,3302","223,4890","695,7666"
"ANP","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. OKS DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,3581","-0,9796","15,5647","2,3045","25,2818","369,0047","844,1329"
"FYU","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. KATILIM STANDART EMEKLİLİK YATIRIM FONU","Katılım Standart Fon","0,1575","2,9003","14,2254","4,7647","25,2451","228,4013","508,2083"
"CHU","QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU","OKS Standart Fon","0,9862","-2,2926","12,1186","1,4518","25,0902","209,5841","450,4901"
"HEI","AXA HAYAT VE EMEKLİLİK A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU","OKS Katılım Standart Fon","0,7175","3,7703","16,1504","5,2870","24,9919","195,9591","356,9908"
"ZHG","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KAMU BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Kamu Borçlanma Araçları Fonu","-0,8755","-1,9153","9,2520","2,1423","24,9534","90,6011","132,2745"
"MHI","METLİFE EMEKLİLİK VE HAYAT A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU","OKS Katılım Standart Fon","1,9112","5,2890","14,7255","6,7584","24,9488","197,6001","331,0383"
"AYJ","AGESA HAYAT VE EMEKLİLİK A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU","OKS Katılım Standart Fon","0,5924","3,4045","16,4872","4,9123","24,9238","197,5396","359,9004"
"KTZ","KATILIM EMEKLİLİK VE HAYAT A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU","OKS Katılım Standart Fon","1,4097","3,3813","19,6701","4,6562","24,8400","171,1780","361,1852"
"FYN","AGESA HAYAT VE EMEKLİLİK A.Ş. KATILIM STANDART EMEKLİLİK YATIRIM FONU","Katılım Standart Fon","-0,0319","2,2181","13,1112","4,1581","24,8106","236,9970","536,1699"
"HHG","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KAMU DIŞ BORÇLANMA ARAÇLARI ( ABD DOLARI 0-5 YIL VADELİ) EMEKLİLİK YATIRIM FONU","Kamu Yabancı Para (Döviz) Cinsinden Borçlanma Araç","1,4415","7,9394","12,4449","8,2830","24,7512","208,2355","644,4646"
"KES","KATILIM EMEKLİLİK VE HAYAT A.Ş. AGRESİF KATILIM DEĞİŞKEN (DÖVİZ) EMEKLİLİK YATIRIM FONU","Değişken Fon","1,2596","8,4070","13,4582","9,3637","24,5016","197,5245","546,9971"
"BPJ","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. OKS DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","4,5212","-2,6882","17,6591","0,0214","24,4250","343,6505","727,5253"
"CHD","QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. OKS AGRESİF KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","4,2919","0,6476","18,9859","2,9295","24,2519","514,4699","1.734,5878"
"MHZ","METLİFE EMEKLİLİK VE HAYAT A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU","OKS Standart Fon","1,0183","-1,0243","12,7230","1,8650","24,2384","225,1687","377,7881"
"MHD","METLİFE EMEKLİLİK VE HAYAT A.Ş. KAMU DIŞ BORÇLANMA ARAÇLARI (ABD DOLARI 0-5 YIL VADELİ) EMEKLİLİK YATIRIM FONU","Kamu Yabancı Para (Döviz) Cinsinden Borçlanma Araç","1,1777","8,2829","13,0999","9,3344","24,1566","219,7160","655,6995"
"BEI","BEREKET EMEKLİLİK VE HAYAT A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU","OKS Katılım Standart Fon","1,3645","3,3370","19,6720","4,5719","23,9633","166,6730","367,0345"
"TML","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. BİRİNCİ YAŞAM DÖNGÜSÜ EMEKLİLİK YATIRIM FONU","Yaşam Döngüsü/Hedef Fon","4,4234","-0,6662","12,1666","-0,3326","23,9006","193,1421","-"
"ANG","VİENNALİFE EMEKLİLİK VE HAYAT A.Ş. STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","2,1049","-1,1699","12,4990","2,7657","23,7451","151,8802","247,8041"
"EST","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. OYAK PORTFÖY STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","0,5629","-3,0864","10,1932","1,0046","23,6480","154,3170","253,0059"
"VEO","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. OKS AGRESİF KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2,8284","-0,2849","13,4133","0,9505","23,6004","369,0473","1.016,7827"
"ZHD","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KAMU DIŞ KİRA SERTİFİKALARI KATILIM EMEKLİLİK YATIRIM FONU","Katılım Fonu","1,2509","8,3370","12,6902","9,1752","23,5244","202,2105","620,9257"
"MHV","METLİFE EMEKLİLİK VE HAYAT A.Ş. OKS AGRESİF KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,9438","4,3930","19,3798","4,4628","23,5165","419,4189","999,1049"
"FGH","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU","OKS Katılım Standart Fon","1,4544","4,3734","20,6295","6,0658","23,2762","175,5541","384,8094"
"FEO","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. İSTANBUL PORTFÖY DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2,4665","0,5956","11,6934","0,5950","23,0771","335,3931","805,5351"
"KEG","KATILIM EMEKLİLİK VE HAYAT A.Ş. DENGELİ KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","4,3388","4,3695","18,8973","4,6441","22,9541","293,5509","728,4882"
"GHY","GARANTİ EMEKLİLİK VE HAYAT A.Ş. OKS DİNAMİK KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2,8598","2,2026","14,4482","3,5081","22,9130","359,9072","970,8964"
"MHK","METLİFE EMEKLİLİK VE HAYAT A.Ş. STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","0,9685","-1,5829","11,5138","1,5206","22,8915","165,5780","257,1811"
"AE3","AGESA HAYAT VE EMEKLİLİK A.Ş. DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,3395","-0,1039","15,2319","3,1520","22,5734","372,7849","832,3300"
"CHM","QNB SAĞLIK HAYAT  SİGORTA VE EMEKLİLİK A.Ş. DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,2720","-0,9226","14,6391","1,5126","22,5083","468,2897","1.455,8706"
"ABE","ANADOLU HAYAT EMEKLİLİK A.Ş.S&P 500 YABANCI BYF FON SEPETİ EMEKLİLİK YATIRIM FONU","Fon Sepeti Fonu","-6,3441","-7,9982","-0,1740","-5,5365","22,0895","178,1740","660,6500"
"ANE","VİENNALİFE EMEKLİLİK VE HAYAT A.Ş. KARMA EMEKLİLİK YATIRIM FONU","Karma Fon","2,1672","-1,9067","12,3871","1,3965","21,9624","210,7116","430,3130"
"BNO","ANADOLU HAYAT EMEKLİLİK A.Ş TEMETTÜ ÖDEYEN ŞİRKETLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","2,3559","-2,2471","13,6623","0,5080","21,8686","-","-"
"FFC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","-3,1398","-3,0282","10,1189","-0,5477","21,8040","-","-"
"CHN","QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2,6735","1,0940","16,2354","3,9719","21,7223","341,2173","727,4049"
"CHO","QNB SAĞLIK HAYAT  SİGORTA VE EMEKLİLİK A.Ş. OKS ATAK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2,3733","-1,9321","14,6080","1,5732","21,7107","584,3858","1.945,5683"
"FEN","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","-1,1739","-4,1012","7,2860","-0,1160","21,6252","102,0905","183,2091"
"AH6","ANADOLU HAYAT EMEKLİLİK A.Ş. BİRİNCİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","-1,7134","2,8276","10,7715","5,2775","21,3800","260,2237","874,5201"
"EHG","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. OYAK PORTFÖY DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2,2993","-0,1437","13,7498","2,2325","20,9997","223,5089","501,5467"
"GHE","GARANTİ EMEKLİLİK VE HAYAT A.Ş. DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,0630","-2,1058","15,1987","1,0836","20,6911","356,7432","829,1908"
"MHO","METLİFE EMEKLİLİK VE HAYAT A.Ş. OKS ATAK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,2184","-2,9771","13,2702","0,0766","20,4866","447,6301","908,8315"
"BPN","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. OKS DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","4,5117","-5,5187","16,0110","-2,8358","20,0652","412,1361","965,4898"
"VGF","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. OKS AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,8481","-1,8151","16,0770","1,8712","19,9365","471,6820","1.329,1447"
"GHM","GARANTİ EMEKLİLİK VE HAYAT A.Ş. OKS DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,2842","-2,2899","12,4746","0,6627","19,5555","431,3009","1.134,8733"
"VGC","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. OKS DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2,5754","-4,4633","14,0818","-3,8402","19,0773","370,5277","913,0730"
"IEK","NN HAYAT VE EMEKLİLİK A.Ş. KARMA EMEKLİLİK YATIRIM FONU","Karma Fon","2,3667","-2,1447","12,7467","0,4627","18,6118","186,3406","429,8917"
"AUA","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. FON SEPETİ EMEKLİLİK YATIRIM FONU","Fon Sepeti Fonu","0,4203","0,4305","6,5348","2,1733","18,5402","223,5953","628,0098"
"VGB","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KATILIM STANDART EMEKLİLİK YATIRIM FONU","Katılım Standart Fon","1,2083","2,7001","13,2487","4,0058","18,4793","129,9315","289,7675"
"AE4","AGESA HAYAT VE EMEKLİLİK A.Ş. BİRİNCİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","-0,3744","3,1025","10,2753","5,9642","18,3089","185,9294","554,9226"
"FIC","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. OKS AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,2887","5,4896","20,7091","8,0304","18,2730","540,5169","1.220,7193"
"AJA","ANADOLU HAYAT EMEKLİLİK A.Ş. OKS AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,2352","-6,1979","13,1863","-2,4798","18,2407","566,6292","1.700,2875"
"AJR","AXA HAYAT VE EMEKLİLİK A.Ş. OKS AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2,9906","-8,5748","14,0459","-4,7575","17,9445","685,0729","2.060,4405"
"GHU","GARANTİ EMEKLİLİK VE HAYAT A.Ş. OKS AGRESİF KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,6524","-0,1720","11,2254","0,6821","17,8891","383,8660","1.165,3654"
"FEF","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TACİRLER PORTFÖY DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","4,8033","0,5428","12,5799","1,5829","17,2140","279,0355","1.232,0763"
"BEF","BEREKET EMEKLİLİK VE HAYAT A.Ş. OKS DİNAMİK KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","4,7843","1,6025","15,4193","0,6054","17,1705","318,6510","730,7196"
"KED","KATILIM EMEKLİLİK VE HAYAT A.Ş. GENÇLERE YÖNELIK ATAK KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Katılım Değişken Fon","4,8466","0,8983","13,1018","-0,6063","17,1004","313,2484","727,7281"
"HHN","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KATILIM DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2,9058","0,5293","21,3755","0,5472","16,7923","289,7754","733,4868"
"HES","AXA HAYAT VE EMEKLİLİK A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","4,0718","-7,2795","13,7904","-3,9313","16,6230","658,2826","2.238,8993"
"AEZ","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. ATA PORTFÖY DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","4,6104","-1,4971","12,7728","1,6038","16,5190","306,4824","764,5704"
"AVU","AGESA HAYAT VE EMEKLİLİK A.Ş. İKİNCİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","1,6042","3,8779","11,0329","5,3251","16,3727","170,9866","381,5688"
"BPI","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. OKS AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,9950","-9,2374","14,3248","-7,9568","16,3588","635,8905","1.763,7891"
"BPE","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","6,5332","-1,7146","15,9105","-1,0552","15,5768","311,1829","691,4158"
"VVA","AGESA HAYAT VE EMEKLİLİK A.Ş. OKS AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,1732","-4,6248","13,0178","-1,1245","15,4771","514,1510","1.364,7559"
"AHL","ANADOLU HAYAT EMEKLİLİK A.Ş. AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2,8636","-8,2625","11,2382","-5,2217","15,4729","555,4028","1.559,9260"
"GEA","GARANTİ EMEKLİLİK VE HAYAT A.Ş. KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,5495","3,0858","10,8434","3,4331","15,3581","262,3025","598,4773"
"ALJ","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. OKS AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,2133","-4,6468","12,4957","-1,3033","15,1373","510,0980","1.369,5296"
"IEE","NN HAYAT VE EMEKLİLİK A.Ş. DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","6,6456","-1,9853","15,7004","-1,3358","14,8616","302,6244","657,6007"
"BEE","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","1,4923","-2,7560","12,8226","0,4251","14,7562","272,0507","739,7587"
"AVE","AGESA HAYAT VE EMEKLİLİK A.Ş. AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","3,0354","-5,2344","12,7597","-1,8186","13,8764","502,3910","1.334,1694"
"AH5","ANADOLU HAYAT EMEKLİLİK A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","3,6189","-8,1561","11,3518","-5,2234","13,8423","544,3426","1.704,3174"
"ALR","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. KARMA EMEKLİLİK YATIRIM FONU","Karma Fon","-4,1481","-8,1892","0,6034","-6,5126","13,6411","248,1665","845,5899"
